title,author,avg_rating,user_rating,cover_url,user_id
"Risking It All (Risk, #1)","Brewer, Annie",5.0,0,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,9916227
For You,"Malpas, Jodi Ellen",4.65,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1682262893l/138505771._SY75_.jpg,9916227
"Fourth Wing (The Empyrean, #1)","Yarros, Rebecca",4.64,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666994927l/61431922._SY75_.jpg,9916227
The Queen,"Reisz, Tiffany",4.64,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430771080l/25256222._SX50_.jpg,9916227
"The Scent of Winter (The Original Sinners, #6.2)","Reisz, Tiffany",4.63,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481121031l/33285053._SY75_.jpg,9916227
"The King (The Original Sinners, #6)","Reisz, Tiffany",4.62,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401211163l/19233301._SY75_.jpg,9916227
Wrapped In Black,"Reisz, Tiffany",4.61,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630572890l/58910681._SY75_.jpg,9916227
The Nightingale,"Hannah, Kristin",4.61,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681839850l/21853621._SY75_.jpg,9916227
"Empire of Storms (Throne of Glass, #5)","Maas, Sarah J.",4.6,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463107108l/28260587._SY75_.jpg,9916227
"Queen of Shadows (Throne of Glass, #4)","Maas, Sarah J.",4.58,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441230104l/18006496._SY75_.jpg,9916227
"Paint It All Red (Mindf*ck, #5)","Abby, S.T.",4.57,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481599246l/33361549._SY75_.jpg,9916227
"Happily Ever After: A Day in the Life of the HEA (Rook and Ronin, #3.5)","Huss, J.A.",4.57,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450023073l/28187251._SY75_.jpg,9916227
"The Saint (The Original Sinners, #5)","Reisz, Tiffany",4.56,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396028000l/16117368._SY75_.jpg,9916227
"Something Nice (The Original Sinners, #1.1)","Reisz, Tiffany",4.55,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1467569824l/30553117._SY75_.jpg,9916227
For the Love of Whiskey (The Whiskeys: Dark Knights at Redemption Ranch #2),"Foster, Melissa",4.55,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681127767l/60889013._SY75_.jpg,9916227
"Still (Grip, #2)","Ryan, Kennedy",4.55,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505765897l/34642932._SY75_.jpg,9916227
One Christmas Eve,"Low, Shari",4.54,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1687852731l/147293404._SY75_.jpg,9916227
