title,author,avg_rating,user_rating,cover_url,user_id
"The Development of a Modern Navy: French Naval Policy, 1871-1904","Ropp, Theodore",5.0,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1694923741l/3135216._SX50_.jpg,6678151
"Navies and Nations: Warships, Navies and State Building in Europe and America, 1500-1860","Glete, Jan",5.0,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1645813592l/3403606._SX50_.jpg,6678151
The Rise and Fall of a National Strategy: The UK and The European Community: Volume 1,"Milward, Alan S.",5.0,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347478824l/4079468._SX50_.jpg,6678151
"British Rearmament and the Treasury, 1932-1939","Peden, George C.",5.0,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565239249l/4451543._SY75_.jpg,6678151
"Benjamin Disraeli Letters: 1860-1864, Volume 8","Disraeli, Benjamin",5.0,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396831777l/6802024._SX50_.jpg,6678151
"Stewards, Lords and People: The Estate Steward and his World in Later Stuart England","Hainsworth, D.R.",5.0,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348264678l/12155836._SX50_.jpg,6678151
"The Life and Times of Ernest Bevin, Volume Two: Minister of Labour, 1940-1945","Bullock, Alan",5.0,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332221240l/13553598._SY75_.jpg,6678151
Portrait of a Party: The Conservative Party in Britain 1918-1945,"Ball, Stuart",5.0,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356089869l/17070399._SY75_.jpg,6678151
"The Railway in England and Wales, 1830-1914, Vol. 1: The System and its Working","Simmons, Jack",5.0,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1619020118l/3585283._SY75_.jpg,6678151
"The Career of an Eighteenth-Century Kapellmeister: The Life and Music of Antonio Rosetti (Eastman Studies in Music, 107)","Murray, Sterling E.",5.0,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517021074l/18056242._SY75_.jpg,6678151
"Sketchbook (The Sketchbooks, 2)","Arsham, Daniel",5.0,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1637793298l/59149248._SX50_.jpg,6678151
Wings for the Rising Sun: A Transnational History of Japanese Aviation,"Melzer, Ju&#776rgen P",4.88,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581690117l/51579404._SX50_SY75_.jpg,6678151
The Cambridge Centenary Ulysses: The 1922 Text with Essays and Notes,"Joyce, James",4.78,0,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,6678151
"The Life and Times of Ernest Bevin, Volume One: Trade Union Leader, 1881-1940","Bullock, Alan",4.8,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332566883l/13553602._SY75_.jpg,6678151
Nixon in New York: How Wall Street Helped Richard Nixon Win the White House,"Li, Victor",4.8,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520297739l/38246855._SY75_.jpg,6678151
The 1921 Tulsa Race Massacre: A Photographic History (Volume 1) (Volume 1) (Greenwood Cultural Center Series in African Diaspora History and Culture),"Hill, Karlos K.",4.78,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601125980l/55363592._SX50_.jpg,6678151
Julius Caesar and the Roman People,"Morstein-Marx, Robert",4.78,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1626118790l/56201946._SY75_.jpg,6678151
German Submarine Warfare in World War I: The Onset of Total War at Sea,"Sondhaus, Lawrence",4.75,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496897409l/34258669._SX50_.jpg,6678151
Radical Spirits: India's First Woman Doctor and Her American Champions,"Patwardhan, Nandini",4.73,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581160615l/51071687._SY75_.jpg,6678151
"Invincible, Compendium Three","Kirkman, Robert",4.71,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525504560l/37491885._SY75_.jpg,6678151
Nimitz at War: Command Leadership from Pearl Harbor to Tokyo Bay,"Symonds, Craig L.",4.67,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632571699l/58986837._SY75_.jpg,6678151
"Invincible, Compendium Two","Kirkman, Robert",4.67,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530480360l/18101127._SY75_.jpg,6678151
"American Sea Power in the Old World: The United States Navy in European and Near Eastern Waters, 1865-1917","Luvaas, Jay",4.67,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1187293027l/1714016._SY75_.jpg,6678151
