title,author,avg_rating,user_rating,cover_url,user_id
Songs of Hestia: Five Plays From The 2010 San Francisco Olympians Festival,"Bousel, Stuart Eugene",5.0,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340743994l/15006032._SX50_.jpg,23244211
Heavenly Bodies: Ten Plays From the 2011 San Francisco Olympians Festival,"Bousel, Stuart Eugene",5.0,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407998894l/22840391._SY75_.jpg,23244211
Pastorella: A Play About Unfamous Actors,"Bousel, Stuart Eugene",5.0,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528535989l/40313856._SY75_.jpg,23244211
Astaire Dancing: The Musical Films,"Mueller, John E.",4.75,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387702923l/1639549._SX50_.jpg,23244211
The Collected Plays of Peter Shaffer,"Shaffer, Peter",4.7,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1467766979l/162703._SX50_.jpg,23244211
Barcelona and Metropolitan: Tales of Two Cities (2 Screenplays),"Stillman, Whit",4.65,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390344319l/120243._SY75_.jpg,23244211
The Dwindling Party,"Gorey, Edward",4.63,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387710480l/619933._SY75_.jpg,23244211
"Harry Potter and the Deathly Hallows (Harry Potter, #7)","Rowling, J.K.",4.62,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663805647l/136251._SY75_.jpg,23244211
Reward: 1000 Francs,"Hugo, Victor",4.6,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532464967l/40938931._SY75_.jpg,23244211
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","Rowling, J.K.",4.58,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565070708l/49116._SX50_.jpg,23244211
The World Only Spins Forward: The Ascent of Angels in America,"Butler, Isaac",4.58,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502710085l/35468836._SY75_.jpg,23244211
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","Rowling, J.K.",4.58,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661032277l/49852._SY75_.jpg,23244211
Collected Fictions,"Borges, Jorge Luis",4.57,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1544275624l/17961._SX50_.jpg,23244211
"Look, I Made a Hat: Collected Lyrics, 1981-2011, With Attendant Comments, Amplifications, Dogmas, Harangues, Digressions, Anecdotes, and Miscellany","Sondheim, Stephen",4.57,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333576663l/10750896._SX50_.jpg,23244211
