title,author,avg_rating,user_rating,cover_url,user_id
My Little Golden Book About Dolly Parton,"Hopkinson, Deborah",4.75,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1614680966l/57282236._SX50_.jpg,1849639
My Little Golden Book About Betty White,"Hopkinson, Deborah",4.67,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1619417681l/57423662._SX50_.jpg,1849639
Hair Love,"Cherry, Matthew A.",4.6,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555477540l/40944115._SX50_.jpg,1849639
Virginia Wouldn't Slow Down!: The Unstoppable Dr. Apgar and Her Life-Saving Invention,"Pearson, Carrie A.",4.57,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673264213l/62585979._SX50_.jpg,1849639
The Rabbit Listened,"Doerrfeld, Cori",4.59,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501511316l/35248504._SX50_.jpg,1849639
The Hill We Climb: An Inaugural Poem for the Country,"Gorman, Amanda",4.57,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1612178266l/56914101._SX50_.jpg,1849639
Change Sings: a Children's Anthem,"Gorman, Amanda",4.55,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611163862l/53420150._SX50_.jpg,1849639
The Corgi and the Queen,"Perry, Caroline L.",4.55,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651638112l/60316973._SX50_.jpg,1849639
Whatever Comes Tomorrow,"Levington, Rebecca Gardyn",4.54,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1668739805l/63324642._SX50_.jpg,1849639
Watercress,"Wang, Andrea",4.54,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646343526l/54502238._SX50_.jpg,1849639
"Dream Big, Little One","Harrison, Vashti",4.53,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529990594l/38496751._SX50_.jpg,1849639
Auntie Loves You!,"James, Helen Foster",4.53,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525178786l/39069365._SX50_.jpg,1849639
I am Helen Keller,"Meltzer, Brad",4.52,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462494548l/24611692._SX50_.jpg,1849639
Knight Owl (Caldecott Honor Book),"Denise, Christopher",4.51,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1626717278l/57007688._SX50_.jpg,1849639
Nina: A Story of Nina Simone,"Todd, Traci N.",4.51,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618856519l/57286019._SX50_.jpg,1849639
The MLB Encyclopedia for Kids,"Flynn, Brendan",4.5,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634632842l/59201982._SX50_.jpg,1849639
Saturday,"Mora, Oge",4.5,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551986043l/43269386._SX50_.jpg,1849639
Dear Librarian,"Sigwarth, Lydia M.",4.49,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600089437l/54017932._SX50_.jpg,1849639
Milo Imagines the World,"de la Pena, Matt",4.49,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594002425l/53398482._SX50_.jpg,1849639
"Ida, Always","Levis, Caron",4.49,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456077882l/25785760._SX50_.jpg,1849639
Love in the Library,"Tokuda-Hall, Maggie",4.48,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618184466l/57699005._SX50_.jpg,1849639
"Be Kind (Be Kind, 1)","Miller, Pat Zietlow",4.48,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497983192l/34506910._SX50_.jpg,1849639
The World Belonged to Us,"Woodson, Jacqueline",4.48,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636978578l/58932971._SX50_.jpg,1849639
"Aaron Slater, Illustrator","Beaty, Andrea",4.47,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1613227239l/56969525._SX50_.jpg,1849639
What Is Given from the Heart,"McKissack, Patricia C.",4.47,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546964101l/43510863._SX50_.jpg,1849639
You're Here for a Reason,"Tillman, Nancy",4.47,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426127391l/23310741._SX50_.jpg,1849639
Not Quite Narwhal,"Sima, Jessie",4.46,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476030563l/30312747._SX50_.jpg,1849639
Those Shoes,"Boelts, Maribeth",4.46,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320405756l/1670602._SX50_.jpg,1849639
"This Way, Charlie","Levis, Caron",4.46,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564836660l/51250344._SX50_SY75_.jpg,1849639
Be You!,"Reynolds, Peter H.",4.44,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566046942l/44575193._SX50_.jpg,1849639
"Thank You, Omu! (Caldecott Honor Book)","Mora, Oge",4.44,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518363514l/34642482._SX50_.jpg,1849639
I am Malala Yousafzai,"Meltzer, Brad",4.44,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1637602959l/57926139._SX50_.jpg,1849639
"A Game of Thrones (A Song of Ice and Fire, #1)","Martin, George R.R.",4.44,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234l/13496._SY75_.jpg,1849639
Berry Song,"Goade, Michaela",4.44,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1679212508l/58064775._SX50_.jpg,1849639
Dreamers,"Morales, Yuyi",4.44,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523445744l/39651067._SX50_.jpg,1849639
It's You I Like,"Rogers, Fred",4.44,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594405551l/50570465._SX50_.jpg,1849639
What If...,"Berger, Samantha",4.44,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503308481l/35959676._SX50_.jpg,1849639
Planting Stories: The Life of Librarian and Storyteller Pura Belpré,"Denise, Anika Aldamuy",4.44,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530136904l/39938161._SX50_.jpg,1849639
What the Road Said,"Wade, Cleo",4.43,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597697716l/51591679._SX50_.jpg,1849639
