user_id,book_id,user_rating
1,1,5
10160415,1,0
1019021,1,5
10367112,1,4
104823,1,4
1053760,1,5
10553671,1,5
106638288,1,3
1072582,1,5
10915830,1,5
11183856,1,5
1162953,1,3
12221088,1,4
122647,1,2
13235258,1,5
1371882,1,4
1380067,1,5
1381728,1,5
14105531,1,5
1413439,1,3
14457130,1,5
14514998,1,5
152460399,1,5
1526851,1,5
1601382,1,5
1605591,1,3
16060275,1,3
1654645,1,5
16576124,1,4
1669197,1,4
16731747,1,4
16865002,1,5
1720620,1,5
1806073,1,4
18085807,1,4
186853,1,5
19714462,1,5
19871593,1,3
19977507,1,4
2225246,1,3
2281988,1,5
2294090,1,4
23133809,1,4
237469,1,5
24239256,1,5
2431437,1,5
24337665,1,5
25184600,1,4
251943,1,5
25375513,1,5
25388909,1,5
2562832,1,3
2602702,1,5
2612079,1,5
2657664,1,5
269235,1,5
27402361,1,5
279256,1,4
28798380,1,4
28967089,1,4
2913816,1,5
2933855,1,5
3030788,1,5
30604861,1,5
3081722,1,4
3089655,1,3
3098682,1,4
31000456,1,3
31880928,1,5
32532051,1,5
32879029,1,4
33674708,1,5
33939264,1,5
3427339,1,4
3472444,1,4
3498889,1,4
3672777,1,5
3734915,1,5
3920693,1,0
3977017,1,4
3990914,1,4
4131979,1,2
4176715,1,2
4216480,1,4
4326315,1,4
4365117,1,4
4379514,1,4
4391094,1,5
4444249,1,3
44673856,1,4
44770518,1,4
4514828,1,5
4527753,1,5
4530043,1,2
46068563,1,5
4642710,1,5
4851964,1,5
4866450,1,4
4929450,1,5
51224285,1,5
51462925,1,5
5253785,1,4
52545435,1,5
52677643,1,5
5293536,1,5
53555116,1,4
541416,1,5
5451550,1,0
5465462,1,5
5574208,1,3
5626931,1,5
5651679,1,4
5860019,1,5
5912889,1,5
6023393,1,5
607804,1,4
6089955,1,4
66670237,1,5
68029956,1,2
68030,1,5
6868829,1,5
721595,1,5
7302570,1,5
7353428,1,3
7365405,1,5
7367573,1,3
7377888,1,4
75860103,1,5
8114361,1,5
83582,1,3
864675,1,5
870755,1,3
8734459,1,5
87796500,1,0
88247398,1,5
8906222,1,4
91747222,1,5
970632,1,4
1,2,5
1005037,2,5
10367112,2,5
1036893,2,4
104823,2,5
1053760,2,5
10553671,2,5
106638288,2,3
10682103,2,4
10717098,2,5
1072582,2,5
10915830,2,5
109778650,2,0
11183856,2,5
111921,2,4
11284813,2,5
11626803,2,5
1162953,2,4
12221088,2,5
122647,2,4
12404,2,4
13070326,2,4
131922,2,4
1371882,2,5
1380067,2,5
1381728,2,4
14105531,2,4
141080755,2,5
1413439,2,5
14457130,2,4
14514998,2,5
152460399,2,5
1526851,2,4
15335689,2,5
1601382,2,5
16060275,2,4
16219087,2,4
16254355,2,4
16731747,2,3
16865002,2,5
1720620,2,4
1806073,2,3
18104163,2,5
19521241,2,5
1964146,2,3
19871593,2,5
2164884,2,3
2190064,2,5
2225246,2,4
2281988,2,5
2294090,2,4
23133809,2,4
23954351,2,4
24239256,2,3
2431437,2,5
24337665,2,4
25184600,2,3
251943,2,5
25353295,2,3
25375513,2,0
25388909,2,4
25683251,2,2
2574606,2,5
25894509,2,5
2602702,2,5
2612079,2,5
269235,2,5
27402361,2,5
2745288,2,5
279256,2,4
2913816,2,4
3023796,2,5
3030788,2,5
30604861,2,5
3073485,2,5
3078602,2,3
3081722,2,4
3098682,2,5
31000456,2,3
32340179,2,5
32879029,2,4
33273494,2,5
33939264,2,5
3427339,2,4
3472444,2,3
3498889,2,1
3672777,2,4
3849903,2,3
38946743,2,4
405390,2,4
4131979,2,2
4159922,2,5
4176715,2,5
430751,2,5
43377498,2,5
4365117,2,5
4379514,2,4
4391094,2,4
4391611,2,5
44098542,2,2
4444249,2,4
44673856,2,5
44770518,2,4
4514828,2,5
4527753,2,5
45618,2,5
46068563,2,2
4685500,2,5
4851964,2,4
4866450,2,3
4929450,2,4
50448,2,5
51221960,2,3
51224285,2,5
5126172,2,5
51462925,2,5
5210022,2,5
5253785,2,4
52545435,2,5
52677643,2,5
52710209,2,5
5293536,2,5
53555116,2,4
5451550,2,0
5465462,2,5
5574208,2,4
5651679,2,4
5860019,2,5
5872506,2,0
5912889,2,4
6023393,2,5
607804,2,5
6089955,2,3
66670237,2,4
6678151,2,4
68029956,2,4
68030,2,5
6868829,2,5
71848701,2,4
721595,2,5
7353428,2,4
7365405,2,5
7377888,2,4
75860103,2,5
8114361,2,5
864675,2,5
870755,2,4
8734459,2,5
87796500,2,0
88247398,2,5
9098678,2,3
9303625,2,5
93149311,2,4
9684061,2,4
970632,2,4
974210,2,4
9916227,2,5
1,3,5
10336538,3,4
10367112,3,5
1036893,3,4
1053760,3,5
106638288,3,4
106692,3,5
1072582,3,4
11284813,3,5
1162953,3,2
11745914,3,4
11931807,3,0
12221088,3,4
122647,3,3
12404,3,4
1371882,3,5
1380067,3,5
141080755,3,5
1413439,3,5
14457130,3,2
14514998,3,5
152460399,3,5
1526851,3,5
1605591,3,5
16056426,3,4
16384209,3,4
1654645,3,5
16731747,3,4
1806073,3,3
18104163,3,4
18384692,3,5
2026178,3,5
2281988,3,5
22888935,3,3
2294090,3,5
23133809,3,4
237469,3,4
24239256,3,5
2431437,3,4
24337665,3,5
25184600,3,5
25375513,3,5
25388909,3,5
2574606,3,5
2612079,3,3
269235,3,5
27402361,3,2
2745288,3,4
279256,3,5
2913816,3,5
2933855,3,5
30222072,3,4
3030788,3,0
3078602,3,5
3081722,3,5
31000456,3,5
31880928,3,5
32532051,3,4
32726092,3,4
32730479,3,4
33273494,3,5
33939264,3,5
3427339,3,5
3498889,3,4
3571171,3,3
3849903,3,5
3920693,3,3
3977017,3,5
3990914,3,5
405390,3,5
4131979,3,5
4176715,3,5
4216480,3,4
4326315,3,3
43377498,3,0
4365117,3,4
4391094,3,4
4444249,3,5
44770518,3,5
4514828,3,5
4530043,3,5
45618,3,4
4598713,3,5
4685500,3,5
4717304,3,4
4851964,3,5
4929450,3,4
50448,3,5
51224285,3,3
5210022,3,5
5253785,3,5
52677643,3,4
5293536,3,5
53555116,3,2
541416,3,5
